Line;Peak_1;Peak_2;Peak_3;Peak_4;Peak_5;Peak_6;Peak_7;Peak_8;Peak_9;Peak_10;Peak_11;Peak_12;Peak_13;Peak_14;Peak_15;Peak_16;Peak_17;Peak_18;Peak_19;Peak_20;Peak_21;Peak_22;Peak_23;Peak_24;Peak_25;Peak_26;Peak_27;Peak_28
4;0.0019521;0.0090487;0.000974;0.0014536;0.087997;0.2767873;0.0041471;0.0062444;0.0050812;0.0079928;0.0029536;0.0039661;0.0122963;0.0028516;0.0023668;0.0045031;0.2564832;0.0590379;0.0479172;0.0024345;0.0100949;0.0181916;0;0.0090625;0.0042302;0.016987;0.1354556;0.0014839
4;0.0053814;0.033201;0.0022028;0.0143131;0.131756;0.0678368;0.0142081;0.0338488;0.0345904;0.0904703;0;0;0;0.004449;0.0257764;0.0021114;0.1206742;0.0325186;0.1944358;0.0033544;0;0.0031652;0.0051873;0;0.010734;0.0641603;0.0332452;0.0047787
5;0.0068143;0.009276;0.0011479;0.0133338;0.0092485;0.0570499;0.0014743;0.0010489;0.0126281;0.030676;0;0.0366947;0.0012471;0.014683;0.001659;0.0127219;0.1940647;0.0018322;0.2600781;0.0046484;0.0015401;0.0305088;0.0838847;0.0093567;0.0228569;0.0544142;0.0697129;0.0083665
5;0.0132917;0.0135326;0.0040099;0.0194524;0.0068482;0.0120165;0.0014189;0.0077939;0.0570081;0;0.0146152;0;0;0.0010951;0.005087;0;0.0106141;0;0.5792285;0.003952;0.0015766;0.0013115;0.0162937;0.0248879;0.0290531;0.1096144;0.023206;0.0144801
5;0.0054472;0.0174041;0.0009332;0.0169303;0.0014468;0.0057425;0;0.0076936;0.0563094;0;0.0329662;0;0;0;0.0189673;0;0.0013935;0;0.6465001;0;0.0020529;0;0.0472618;0.016687;0.0312684;0.0509458;0.0056441;0.0150236
5;0.0081883;0.0202515;0.0020618;0.0144375;0;0.0028415;0;0.0067789;0.0595965;0;0.0339188;0;0;0;0.011756;0;0;0;0.6617233;0;0;0.0017584;0.0268823;0.0222974;0.0289124;0.0644485;0.0019319;0.0151788
5;0.0045022;0.0158762;0.0009603;0.0074304;0.0057058;0.1142066;0;0.0066385;0.0180945;0.0269734;0.0176235;0.0013883;0.011274;0;0.0061241;0.0011294;0.182808;0.0028799;0.2458178;0;0.001798;0;0.0454717;0.0192313;0.0378609;0.0275603;0.1717432;0.0147541
5;0.0100105;0.0127439;0.0204651;0.0130548;0.0013842;0.0040065;0.0037534;0.0061453;0.0641169;0;0.0277986;0.0009406;0;0.0013506;0.0099218;0;0;0;0.6764232;0;0;0.0019922;0.0441837;0.0195737;0.0287205;0.0361668;0.0035293;0.0137186
5;0.0033667;0.0114323;0.0005818;0.0108872;0.0209433;0.0601857;0;0.023324;0.0411772;0.0375638;0.0111496;0.0160226;0.000844;0.0085548;0.0052318;0.0010955;0.1142859;0.0032113;0.4152606;0.0025716;0.0018255;0.009116;0.0684363;0.0144379;0.0244568;0.0373201;0.0440115;0.0127062
5;0.0052515;0.01309;0.000995;0.0164928;0.0083767;0.0178253;0.0014197;0.0125653;0.0352407;0.0215924;0.0195925;0.0003508;0.0034058;0.0014575;0.0044589;0.0004975;0.0634065;0.0017981;0.3619973;0.0034794;0.0016284;0.0084381;0.1110294;0.0180749;0.0284175;0.044537;0.1543574;0.010803
